velx,vely,velz,posx,posy,posz
47.961,-106.431,-22.078,-0.639,-0.164,0.019
-192.615,148.888,0.435,5.034,6.130,0.299
146.869,89.021,24.070,2.332,-4.252,0.007
-143.462,-88.424,0.359,-3.882,3.744,0.301
-218.973,60.324,-5.787,3.328,12.423,0.133
109.361,1.154,-18.536,0.546,0.224,0.355
203.432,-30.141,-22.356,-1.031,-7.157,0.153
-46.557,91.221,-21.242,0.703,0.747,0.002
-140.492,-87.534,-55.532,-0.930,2.170,-0.001
-49.445,172.970,-12.099,3.903,1.327,-0.218
130.796,214.159,26.671,3.607,-1.333,0.109
30.076,-216.324,11.973,-7.562,-1.129,-0.448
-153.186,-96.961,14.276,-2.319,4.376,0.372
-156.581,-28.085,-46.589,-0.548,3.810,-0.188
-112.001,102.651,69.253,-0.071,2.139,-0.197
227.864,96.240,4.531,1.939,-4.561,-0.127
-11.481,130.002,16.716,0.847,0.435,0.037
221.568,-61.961,-17.002,-1.492,-8.130,0.099
-192.442,-52.799,-24.719,-1.022,3.171,-0.069
-169.116,79.293,-42.143,0.549,2.899,0.193
-211.398,-67.823,-7.669,-1.788,6.644,-0.051
-198.307,9.482,-8.214,0.007,7.439,0.260
115.846,-175.648,-14.664,-1.359,-1.497,-0.276
7.578,84.712,66.609,0.438,0.364,0.694
51.491,-121.538,3.022,-1.239,-0.342,-0.196
193.286,-45.100,-4.649,-0.700,-3.656,-0.184
60.993,78.569,-83.290,0.845,-0.596,-0.290
-222.880,-20.775,15.290,0.236,5.406,0.381
-220.977,-94.800,-12.748,-2.436,7.241,0.033
-224.418,45.983,24.874,0.795,7.438,-0.043
-16.515,-214.868,-4.991,-4.011,0.734,-0.355
-148.215,-105.736,47.339,-2.816,3.807,0.105
74.683,-157.277,11.234,-2.914,-1.265,0.081
49.196,-50.632,12.680,0.205,-0.471,-0.017
201.142,-19.201,24.999,-0.331,-6.752,0.328
39.434,-136.893,108.077,-2.071,-0.096,-0.080
247.633,-50.813,-5.567,-3.018,-10.602,0.150
-133.815,182.596,-8.964,5.413,5.028,-0.547
206.019,-9.036,-32.954,-0.338,-6.058,0.116
-45.902,-250.464,-40.007,-6.083,0.727,0.059
-30.447,35.960,30.991,0.312,0.435,0.293
180.929,-130.340,-12.549,-4.641,-6.638,-0.121
-125.015,-161.739,26.865,-2.796,2.826,0.138
-146.417,126.764,18.820,3.190,3.134,0.227
67.417,102.710,-58.922,1.854,-1.459,-0.250
167.863,32.748,29.831,0.153,-2.293,0.170
184.485,-127.636,20.638,-2.796,-4.285,0.211
162.401,164.816,-5.356,7.455,-7.859,-0.351
187.683,-130.515,-10.972,-1.391,-3.935,-0.078
-165.409,-63.214,31.399,-1.270,1.937,-0.270
-58.974,-112.750,-72.050,-0.866,1.411,-0.064
-105.508,-192.451,11.011,-1.091,0.635,-0.201
-127.587,98.727,-21.307,0.600,0.640,-0.175
-159.621,96.255,25.158,0.574,4.370,-0.137
10.090,-125.697,9.368,-2.154,0.090,-0.212
64.231,-186.978,-17.059,-2.389,-1.406,-0.218
159.998,86.680,-53.792,1.499,-1.135,-0.259
-190.174,-23.642,-28.443,-0.808,5.538,0.628
-160.371,64.941,-40.958,1.372,2.359,0.063
-74.705,71.969,-3.614,1.182,2.033,0.131
66.042,-207.545,0.164,-4.825,-1.886,-0.247
144.176,156.735,18.893,5.026,-4.152,-0.109
-63.514,-134.971,41.097,-2.287,0.914,0.091
