velx,vely,velz,posx,posy,posz
-67.318,5.134,3.832,0.670,9.484,0.420
-47.118,-57.151,-3.092,-6.358,3.925,0.308
31.066,-52.172,0.026,-13.998,-8.546,0.172
38.671,-58.097,8.926,-9.497,-5.520,0.057
20.895,63.509,2.598,6.865,-3.233,-0.139
76.206,-30.030,-7.173,-1.289,-3.427,-0.412
-58.024,30.984,6.849,4.552,6.740,0.062
-47.518,7.321,-0.053,-0.175,2.331,-0.416
-68.115,8.964,6.716,1.227,4.493,-0.444
46.809,-43.318,-0.527,-6.602,-7.369,-0.365
-51.073,-39.213,-10.432,-3.094,4.547,0.763
62.601,-22.137,5.609,-3.778,-10.710,-0.232
-7.910,68.566,11.512,9.901,1.628,0.552
-43.657,45.536,0.331,9.584,7.847,0.389
-69.105,9.037,-0.724,0.813,7.436,0.271
22.493,-62.246,0.890,-13.362,-3.480,0.650
50.577,36.415,-2.676,6.724,-7.351,-0.848
79.044,-0.891,-8.185,-1.243,-4.685,0.034
45.655,53.802,-5.743,5.825,-5.872,0.579
-15.603,66.514,13.800,3.929,1.334,-0.338
19.213,69.677,5.820,7.467,-0.802,0.345
42.600,-55.117,5.681,-4.119,-1.845,-0.698
-14.095,-65.836,14.452,-8.337,2.285,0.119
8.992,19.246,4.969,0.258,-0.626,0.337
44.043,46.398,-4.209,10.057,-8.496,0.655
-67.734,0.272,-7.979,0.191,5.456,0.768
-2.036,65.246,7.763,3.339,-0.130,1.206
25.680,52.848,0.705,5.711,-2.386,0.407
-2.669,-66.376,-2.264,-6.126,-0.165,0.120
-46.874,-18.981,11.748,-2.929,4.458,-0.034
48.565,-68.211,-6.317,-3.550,-1.209,-1.362
-28.024,62.207,10.911,6.763,3.804,-0.013
10.947,-59.620,2.840,-3.865,-1.108,-0.105
49.230,13.290,10.545,1.243,-5.151,0.302
-86.816,11.276,14.024,-0.569,3.609,0.151
40.193,21.024,-18.612,0.587,-1.857,-0.549
-10.914,58.816,5.911,18.867,3.915,-0.274
10.994,75.443,2.988,9.102,-1.931,0.692
39.387,-47.751,-11.200,-0.990,-1.920,-1.199
-14.735,45.201,50.957,0.270,0.107,-0.136
-41.142,55.257,1.414,5.781,2.572,-0.286
-48.946,35.199,5.915,10.316,13.806,-0.108
24.449,61.797,-3.240,7.377,-2.040,0.452
7.651,67.746,11.604,5.866,-0.084,0.266
-68.035,20.125,-13.502,2.770,8.773,0.258
62.963,27.802,-2.034,3.604,-3.801,0.596
-46.659,-31.182,-10.246,-1.835,1.929,-0.422
-40.805,17.379,-15.142,0.757,1.513,-0.399
-36.142,58.811,-14.583,3.677,1.736,-0.436
