velx,vely,velz,posx,posy,posz
211.481,-28.713,-4.649,-0.700,-3.656,-0.184
31.985,99.016,-83.290,0.845,-0.596,-0.290
-220.985,22.716,-5.323,0.236,5.406,0.381
-225.910,-96.459,-12.748,-2.436,7.241,0.033
-220.647,30.578,0.345,0.795,7.438,-0.043
-10.664,-193.999,-46.723,-4.011,0.734,-0.355
-145.613,-109.253,-42.123,-2.816,3.807,0.105
69.712,-145.825,7.361,-2.914,-1.265,0.081
49.196,-50.632,12.680,0.205,-0.471,-0.017
226.564,22.456,-10.232,-0.331,-6.752,0.328
39.978,-148.671,79.571,-2.071,-0.096,-0.080
232.179,-62.570,-5.567,-3.018,-10.602,0.150
-136.542,161.828,-2.099,5.413,5.028,-0.547
206.761,4.278,-30.482,-0.338,-6.058,0.116
11.943,-222.678,-40.007,-6.083,0.727,0.059
-50.186,26.362,30.991,0.312,0.435,0.293
203.121,-162.528,-16.179,-4.641,-6.638,-0.121
-153.227,-171.777,7.653,-2.796,2.826,0.138
-157.756,115.625,-17.075,3.190,3.134,0.227
140.497,62.620,-29.449,1.854,-1.459,-0.250
110.975,9.309,35.534,0.153,-2.293,0.170
198.707,-100.294,20.638,-2.796,-4.285,0.211
171.006,172.979,6.408,7.455,-7.859,-0.351
203.654,-85.324,-13.073,-1.391,-3.935,-0.078
-152.550,-87.977,40.603,-1.270,1.937,-0.270
-59.320,-29.077,-11.997,-0.866,1.411,-0.064
-147.027,-168.298,44.811,-1.091,0.635,-0.201
-149.203,75.691,70.892,0.600,0.640,-0.175
-240.095,-15.593,36.310,0.574,4.370,-0.137
10.090,-125.697,-29.077,-2.154,0.090,-0.212
65.343,-209.020,15.821,-2.389,-1.406,-0.218
87.686,-8.854,67.719,1.499,-1.135,-0.259
-238.354,-38.618,-28.443,-0.808,5.538,0.628
-134.779,108.954,-40.958,1.372,2.359,0.063
-90.916,35.548,-3.614,1.182,2.033,0.131
38.680,-220.138,0.151,-4.825,-1.886,-0.247
144.176,156.735,7.084,5.026,-4.152,-0.109
-58.522,-149.946,5.789,-2.287,0.914,0.091
-56.249,-223.073,-19.145,-6.369,2.753,0.169
129.334,-137.536,-3.437,-2.680,-1.855,-0.363
-69.253,64.815,12.295,-0.280,0.529,0.283
-98.521,-169.557,30.790,-3.516,3.171,0.117
-4.444,122.626,-95.677,1.181,0.187,-0.057
60.511,12.178,83.175,0.290,-1.352,0.096
103.665,-199.926,-5.730,-15.294,-7.498,-0.100
219.097,38.572,-42.654,1.065,-4.041,-0.307
62.344,38.547,-15.441,1.671,-1.354,0.214
-168.141,-4.158,-12.975,0.553,3.524,-0.161
200.735,-78.149,-14.159,-4.573,-10.220,-0.027
95.774,-99.128,-36.457,-1.477,-1.484,-0.126
210.078,77.659,4.320,5.483,-15.105,-0.074
-216.713,-77.523,7.385,-4.860,12.695,0.121
