velx,vely,velz,posx,posy,posz
-77.745,-74.840,16.419,-2.754,2.300,-0.202
1.381,139.100,-24.092,3.064,1.151,-0.294
-13.050,-129.595,-22.363,-3.506,0.549,0.122
6.761,103.062,-2.632,1.385,0.055,-0.034
-52.085,52.859,3.378,1.081,0.758,0.591
127.507,53.336,46.400,0.755,-2.415,0.290
-78.895,-10.284,-88.068,-0.272,-0.184,0.046
-41.182,-130.779,-5.331,-4.633,1.524,0.157
51.633,-43.833,61.422,-0.444,-0.336,0.135
-66.897,-120.114,26.822,-5.374,2.776,-0.153
-18.652,-160.831,-4.926,-3.078,1.037,-0.162
103.804,-83.795,-9.943,-2.446,-4.935,-0.446
-122.627,29.251,23.775,0.564,4.582,-0.542
69.548,-119.226,10.877,-6.596,-3.785,0.254
137.175,53.279,30.083,1.011,-2.707,0.270
94.403,-114.264,6.465,-4.719,-2.697,0.572
-85.970,15.825,-24.873,1.092,0.970,0.315
85.045,-102.072,16.237,-4.841,-4.056,0.028
33.159,-143.430,-13.191,-5.891,-1.637,-0.028
69.299,-80.390,3.689,-1.433,-1.728,0.703
-107.523,10.555,3.552,-0.686,3.149,-0.126
82.311,109.957,2.236,2.330,-1.595,-0.023
77.288,107.595,12.996,1.464,-1.186,0.072
89.045,-104.652,12.361,-1.464,-1.783,0.024
-34.125,-125.324,3.775,-4.162,0.845,-0.250
-71.349,-104.808,-0.246,-5.198,3.568,-0.208
-84.215,-8.932,11.628,0.309,0.885,0.422
-76.925,-39.559,-35.271,-0.718,2.182,0.565
-110.771,67.981,1.494,3.102,4.854,0.336
81.155,-34.598,-7.208,-0.557,-1.526,0.365
61.640,-69.376,8.123,-0.714,-0.950,0.148
-122.230,26.821,-14.168,0.455,3.065,-0.024
-57.853,-120.261,1.232,-2.825,1.972,0.147
-55.394,-6.919,-38.183,0.129,0.546,-0.082
-20.188,-95.704,-16.980,-1.003,-0.022,-0.157
126.293,-4.857,4.367,-0.141,-6.321,-0.136
